lead_id,mql_source,bombora_surge_topic,lead_score,campaign_name,lead_status
LEAD-0063,Trade Show,Network Security,47,Q2 Transformation,Nurturing
LEAD-0064,Email Campaign,Unified Communications,48,Q1 Efficiency,Working
LEAD-0065,Referral,Data Privacy,45,Q1 Security,Working
LEAD-0066,Referral,Network Security,73,Q1 Security,Nurturing
LEAD-0067,Referral,Big Data Analytics,77,Q3 Growth,Qualified
LEAD-0068,Referral,Cybersecurity,48,Q3 Transformation,Working
LEAD-0069,Direct Mail,Unified Communications,38,Q2 Efficiency,Working
LEAD-0070,Direct Mail,Supply Chain Management,17,Q4 Transformation,Qualified
LEAD-0071,Referral,Network Security,77,Q1 Efficiency,Qualified
LEAD-0072,Organic Search,Data Privacy,36,Q3 Growth,New
LEAD-0073,Direct Mail,IoT Platforms,57,Q1 Transformation,Working
LEAD-0074,Webinar,Data Privacy,58,FY Security,New
LEAD-0075,Whitepaper,Unified Communications,85,FY Innovation,Working
LEAD-0076,Direct Mail,Unified Communications,52,Q2 Efficiency,New
LEAD-0077,Organic Search,Supply Chain Management,34,FY Innovation,New
LEAD-0078,Direct Mail,Supply Chain Management,41,FY Transformation,Working
LEAD-0079,Referral,Supply Chain Management,40,Q4 Transformation,Nurturing
LEAD-0080,Paid Social,CRM Software,69,Q4 Transformation,Nurturing
LEAD-0081,Paid Social,Data Privacy,56,Q4 Security,Qualified
LEAD-0082,Direct Mail,Payment Processing,70,FY Efficiency,Nurturing
LEAD-0083,Organic Search,ERP Integration,50,Q3 Innovation,New
LEAD-0084,Organic Search,DevOps Tools,28,Q1 Growth,Nurturing
LEAD-0085,Referral,Data Privacy,29,Q2 Security,Nurturing
LEAD-0086,Organic Search,CRM Software,82,Q2 Transformation,Qualified
LEAD-0087,Email Campaign,Data Privacy,72,FY Innovation,Qualified
LEAD-0088,Direct Mail,Cybersecurity,55,Q2 Growth,Working
LEAD-0089,Direct Mail,Cybersecurity,79,FY Growth,New
LEAD-0090,Webinar,IoT Platforms,19,FY Security,New
LEAD-0091,Webinar,CRM Software,27,FY Growth,Working
LEAD-0092,Whitepaper,DevOps Tools,29,Q1 Growth,Working
LEAD-0093,Direct Mail,ERP Integration,17,Q4 Efficiency,Qualified
LEAD-0094,Direct Mail,Cloud Migration,10,Q4 Transformation,Qualified
LEAD-0095,Webinar,Cloud Migration,77,FY Innovation,Nurturing
LEAD-0096,Paid Social,Cloud Migration,74,FY Transformation,Qualified
LEAD-0097,Trade Show,Payment Processing,22,Q4 Security,Working
LEAD-0098,Organic Search,Unified Communications,89,Q4 Security,Nurturing
LEAD-0099,Email Campaign,Data Privacy,60,Q1 Transformation,Nurturing
LEAD-0100,Referral,AI Automation,82,Q2 Transformation,Working
LEAD-0101,Paid Social,Customer Experience,20,FY Growth,New
LEAD-0102,Whitepaper,CRM Software,58,Q3 Transformation,Qualified
LEAD-0103,Webinar,Customer Experience,11,FY Transformation,Working
LEAD-0104,Whitepaper,AI Automation,65,FY Growth,Nurturing
LEAD-0105,Whitepaper,Supply Chain Management,77,Q1 Security,Working
LEAD-0106,Organic Search,Supply Chain Management,98,Q4 Innovation,Qualified
LEAD-0107,Paid Social,Cloud Migration,19,FY Security,Nurturing
LEAD-0108,Webinar,Cybersecurity,50,Q1 Growth,Working
LEAD-0109,Trade Show,Big Data Analytics,60,Q1 Transformation,Nurturing
LEAD-0110,Trade Show,Fraud Prevention,40,Q4 Innovation,Qualified
LEAD-0111,Email Campaign,CRM Software,27,FY Transformation,New
LEAD-0112,Email Campaign,Cloud Migration,22,Q3 Innovation,Working
LEAD-0113,Whitepaper,ERP Integration,87,FY Efficiency,Qualified
LEAD-0114,Email Campaign,Cloud Migration,91,Q2 Innovation,Qualified
LEAD-0115,Direct Mail,Unified Communications,55,Q4 Transformation,Qualified
LEAD-0116,Referral,Cybersecurity,97,Q4 Innovation,Qualified
LEAD-0117,Whitepaper,Big Data Analytics,89,Q2 Efficiency,Working
LEAD-0118,Whitepaper,Payment Processing,44,Q1 Efficiency,Qualified
LEAD-0119,Trade Show,DevOps Tools,59,Q3 Growth,Nurturing
LEAD-0120,Whitepaper,Payment Processing,10,Q2 Efficiency,Qualified
LEAD-0121,Email Campaign,Big Data Analytics,44,Q1 Innovation,Working
LEAD-0122,Whitepaper,Cybersecurity,65,Q3 Efficiency,Qualified
LEAD-0123,Whitepaper,Cloud Migration,21,Q3 Security,New
LEAD-0124,Email Campaign,IoT Platforms,59,Q1 Growth,Nurturing
LEAD-0125,Referral,CRM Software,20,FY Innovation,Working
LEAD-0126,Trade Show,Customer Experience,58,Q2 Growth,Working
LEAD-0127,Paid Social,Data Privacy,44,Q4 Growth,Working
LEAD-0128,Whitepaper,Cybersecurity,65,Q2 Innovation,Qualified
LEAD-0129,Paid Social,AI Automation,19,Q3 Security,Nurturing
LEAD-0130,Organic Search,DevOps Tools,90,Q4 Growth,Working
LEAD-0131,Direct Mail,Payment Processing,27,Q2 Efficiency,New
LEAD-0132,Referral,ERP Integration,89,Q3 Transformation,Nurturing
LEAD-0133,Direct Mail,ERP Integration,65,FY Growth,Working
LEAD-0134,Paid Social,ERP Integration,87,FY Transformation,Working
LEAD-0135,Direct Mail,ERP Integration,32,Q3 Transformation,Nurturing
LEAD-0136,Paid Social,DevOps Tools,98,FY Growth,Qualified
LEAD-0137,Organic Search,ERP Integration,58,Q2 Innovation,Qualified
LEAD-0138,Email Campaign,Payment Processing,82,Q2 Security,Working
LEAD-0139,Webinar,DevOps Tools,69,FY Transformation,Working
LEAD-0140,Direct Mail,Big Data Analytics,47,FY Transformation,New
LEAD-0141,Referral,Customer Experience,73,Q1 Efficiency,Nurturing
LEAD-0142,Organic Search,Data Privacy,94,Q1 Efficiency,Qualified
LEAD-0143,Referral,Payment Processing,67,Q4 Efficiency,Qualified
LEAD-0144,Referral,Network Security,74,FY Transformation,Qualified
LEAD-0145,Webinar,Big Data Analytics,56,FY Transformation,New
LEAD-0146,Whitepaper,Big Data Analytics,41,FY Security,Nurturing
LEAD-0147,Trade Show,Customer Experience,88,Q1 Security,Qualified
LEAD-0148,Email Campaign,Big Data Analytics,65,Q1 Innovation,New
LEAD-0149,Whitepaper,Data Privacy,38,Q4 Security,Working
LEAD-0150,Direct Mail,ERP Integration,60,Q3 Efficiency,Working
LEAD-0151,Email Campaign,Cloud Migration,71,Q1 Innovation,Nurturing
LEAD-0152,Referral,Supply Chain Management,20,Q1 Innovation,Working
LEAD-0153,Email Campaign,Data Privacy,53,Q3 Efficiency,Working
LEAD-0154,Direct Mail,ERP Integration,70,Q1 Innovation,Qualified
LEAD-0155,Direct Mail,ERP Integration,18,Q2 Efficiency,New
LEAD-0156,Whitepaper,Cloud Migration,53,FY Growth,New
LEAD-0157,Trade Show,Supply Chain Management,41,Q4 Security,Working
LEAD-0158,Trade Show,ERP Integration,81,Q3 Innovation,Qualified
LEAD-0159,Organic Search,Big Data Analytics,61,FY Growth,Working
LEAD-0160,Trade Show,Customer Experience,94,Q3 Innovation,Qualified
LEAD-0161,Webinar,DevOps Tools,88,Q2 Security,Qualified
LEAD-0162,Referral,CRM Software,10,FY Transformation,Working
LEAD-0163,Organic Search,Data Privacy,100,Q1 Transformation,New
LEAD-0164,Trade Show,ERP Integration,51,Q2 Security,Qualified
LEAD-0165,Whitepaper,Data Privacy,95,Q4 Growth,Nurturing
LEAD-0166,Referral,Fraud Prevention,60,Q4 Innovation,New
LEAD-0167,Email Campaign,ERP Integration,68,Q4 Efficiency,Working
LEAD-0168,Paid Social,Supply Chain Management,88,Q4 Innovation,New
LEAD-0169,Trade Show,ERP Integration,25,Q2 Transformation,Nurturing
LEAD-0170,Whitepaper,Cybersecurity,57,FY Transformation,Working
LEAD-0171,Referral,CRM Software,86,Q1 Efficiency,Qualified
LEAD-0172,Referral,Cybersecurity,72,FY Growth,Working
LEAD-0173,Trade Show,AI Automation,46,Q1 Efficiency,Working
LEAD-0174,Email Campaign,IoT Platforms,67,Q4 Efficiency,New
LEAD-0175,Email Campaign,Cloud Migration,72,Q1 Efficiency,Working
LEAD-0176,Referral,Network Security,74,FY Growth,Qualified
LEAD-0177,Referral,Customer Experience,72,Q3 Innovation,Qualified
LEAD-0178,Direct Mail,Cybersecurity,20,Q4 Innovation,New
LEAD-0179,Organic Search,Data Privacy,14,Q2 Innovation,Working
LEAD-0180,Paid Social,Cybersecurity,68,Q4 Innovation,Qualified
LEAD-0181,Whitepaper,Fraud Prevention,24,Q2 Innovation,Nurturing
LEAD-0182,Webinar,Big Data Analytics,66,Q4 Transformation,Working
LEAD-0183,Referral,Payment Processing,93,FY Efficiency,Working
LEAD-0184,Paid Social,IoT Platforms,14,Q3 Efficiency,Nurturing
LEAD-0185,Email Campaign,IoT Platforms,21,Q3 Efficiency,New
LEAD-0186,Organic Search,Unified Communications,85,FY Transformation,Nurturing
LEAD-0187,Referral,Cybersecurity,88,Q1 Efficiency,Working
LEAD-0188,Organic Search,Big Data Analytics,17,Q4 Innovation,Nurturing
LEAD-0189,Paid Social,Fraud Prevention,78,Q2 Growth,Nurturing
LEAD-0190,Paid Social,Data Privacy,83,Q2 Innovation,New
LEAD-0191,Trade Show,Big Data Analytics,62,Q1 Security,Nurturing
LEAD-0192,Trade Show,DevOps Tools,26,Q2 Transformation,Working
LEAD-0193,Email Campaign,IoT Platforms,41,FY Efficiency,Qualified
LEAD-0194,Direct Mail,Cybersecurity,83,FY Growth,Nurturing
LEAD-0195,Referral,CRM Software,67,Q1 Transformation,New
LEAD-0196,Referral,Network Security,45,FY Transformation,Nurturing
LEAD-0197,Direct Mail,AI Automation,51,Q4 Innovation,New
LEAD-0198,Whitepaper,DevOps Tools,68,FY Growth,Nurturing
LEAD-0199,Whitepaper,Big Data Analytics,78,Q3 Transformation,Working
LEAD-0200,Referral,IoT Platforms,37,Q4 Growth,Nurturing
LEAD-0201,Email Campaign,IoT Platforms,46,Q3 Growth,Working
LEAD-0202,Direct Mail,Big Data Analytics,53,FY Security,New
LEAD-0203,Webinar,Payment Processing,90,Q3 Efficiency,New
LEAD-0204,Whitepaper,Supply Chain Management,30,Q3 Efficiency,Qualified
LEAD-0205,Webinar,CRM Software,35,FY Transformation,Working
LEAD-0206,Paid Social,Cybersecurity,45,Q1 Transformation,Nurturing
LEAD-0207,Paid Social,Payment Processing,57,FY Security,Working
LEAD-0208,Webinar,CRM Software,90,Q2 Efficiency,Working
LEAD-0209,Referral,Customer Experience,21,FY Transformation,New
LEAD-0210,Webinar,Unified Communications,71,Q1 Transformation,Working
LEAD-0211,Organic Search,Network Security,97,Q3 Efficiency,New
LEAD-0212,Webinar,DevOps Tools,53,Q1 Innovation,Qualified
LEAD-0213,Trade Show,AI Automation,19,Q2 Transformation,Qualified
LEAD-0214,Whitepaper,DevOps Tools,23,Q1 Innovation,Nurturing
LEAD-0215,Email Campaign,Supply Chain Management,48,Q1 Efficiency,Qualified
LEAD-0216,Trade Show,Customer Experience,96,Q1 Efficiency,New
LEAD-0217,Webinar,Fraud Prevention,93,Q2 Growth,Qualified
LEAD-0218,Email Campaign,DevOps Tools,37,FY Growth,Working
LEAD-0219,Referral,Fraud Prevention,97,Q3 Efficiency,Working
LEAD-0220,Whitepaper,Supply Chain Management,22,Q1 Efficiency,New
LEAD-0221,Referral,ERP Integration,64,Q3 Growth,Working
LEAD-0222,Organic Search,Data Privacy,92,Q1 Transformation,Working
LEAD-0223,Paid Social,Big Data Analytics,98,Q1 Growth,Nurturing
LEAD-0224,Organic Search,Network Security,87,Q4 Security,Working
LEAD-0225,Referral,Data Privacy,92,Q1 Security,Working
LEAD-0226,Direct Mail,CRM Software,24,Q2 Transformation,Qualified
LEAD-0227,Whitepaper,Network Security,11,Q3 Security,Nurturing
LEAD-0228,Trade Show,CRM Software,82,Q3 Innovation,Nurturing
LEAD-0229,Trade Show,Big Data Analytics,70,FY Efficiency,New
LEAD-0230,Webinar,Fraud Prevention,18,Q1 Growth,Nurturing
LEAD-0231,Organic Search,Cloud Migration,17,Q3 Transformation,Nurturing
LEAD-0232,Referral,CRM Software,99,Q3 Transformation,New
LEAD-0233,Trade Show,Data Privacy,20,Q2 Efficiency,New
LEAD-0234,Organic Search,Big Data Analytics,29,Q4 Transformation,Nurturing
LEAD-0235,Referral,Fraud Prevention,91,FY Efficiency,New
LEAD-0236,Paid Social,DevOps Tools,65,FY Innovation,Working
LEAD-0237,Webinar,Unified Communications,21,Q3 Innovation,New
LEAD-0238,Direct Mail,Fraud Prevention,87,Q1 Security,Nurturing
LEAD-0239,Trade Show,Payment Processing,11,FY Transformation,Working
LEAD-0240,Webinar,Cybersecurity,73,Q3 Security,Nurturing
LEAD-0241,Trade Show,ERP Integration,26,FY Innovation,Nurturing
LEAD-0242,Whitepaper,Big Data Analytics,13,Q3 Growth,Qualified
LEAD-0243,Paid Social,Network Security,18,Q2 Innovation,New
LEAD-0244,Direct Mail,AI Automation,75,Q3 Security,New
LEAD-0245,Direct Mail,IoT Platforms,82,Q2 Growth,Nurturing
LEAD-0246,Trade Show,Data Privacy,23,Q4 Innovation,New
LEAD-0247,Organic Search,DevOps Tools,75,Q1 Growth,New
LEAD-0248,Webinar,Unified Communications,15,Q4 Growth,Nurturing
LEAD-0249,Referral,Supply Chain Management,29,Q2 Growth,New
LEAD-0250,Referral,Unified Communications,51,Q2 Transformation,Qualified
LEAD-0251,Email Campaign,Data Privacy,19,Q4 Innovation,Nurturing
LEAD-0252,Whitepaper,Network Security,96,Q1 Security,Working
LEAD-0253,Organic Search,Big Data Analytics,76,Q1 Security,Qualified
LEAD-0254,Whitepaper,Supply Chain Management,69,Q2 Efficiency,Nurturing
LEAD-0255,Email Campaign,Payment Processing,80,Q3 Efficiency,New
LEAD-0256,Email Campaign,Unified Communications,47,Q4 Innovation,Nurturing
LEAD-0257,Organic Search,AI Automation,57,Q4 Innovation,Qualified
LEAD-0258,Organic Search,DevOps Tools,79,FY Efficiency,Working
LEAD-0259,Trade Show,Cloud Migration,62,Q1 Growth,Working
LEAD-0260,Email Campaign,Customer Experience,98,Q1 Growth,Nurturing
LEAD-0261,Webinar,Big Data Analytics,94,Q3 Transformation,Nurturing
LEAD-0262,Whitepaper,Unified Communications,77,Q2 Transformation,Qualified
LEAD-0263,Direct Mail,Cloud Migration,28,FY Transformation,Nurturing
LEAD-0264,Whitepaper,Cloud Migration,39,Q4 Security,Qualified
LEAD-0265,Email Campaign,AI Automation,20,Q4 Innovation,New
LEAD-0266,Trade Show,Customer Experience,60,Q1 Transformation,New
LEAD-0267,Referral,Customer Experience,26,Q2 Transformation,Nurturing
LEAD-0268,Paid Social,IoT Platforms,50,Q3 Transformation,Nurturing
LEAD-0269,Email Campaign,AI Automation,44,Q2 Transformation,New
LEAD-0270,Organic Search,Cybersecurity,84,Q1 Innovation,Working
LEAD-0271,Whitepaper,Cybersecurity,67,Q3 Efficiency,Nurturing
LEAD-0272,Referral,Payment Processing,78,Q3 Security,Working
LEAD-0273,Direct Mail,Data Privacy,69,Q2 Innovation,New
LEAD-0274,Whitepaper,Cybersecurity,97,Q2 Efficiency,New
LEAD-0275,Organic Search,IoT Platforms,51,Q1 Efficiency,New
LEAD-0276,Organic Search,ERP Integration,60,Q4 Security,New
LEAD-0277,Paid Social,Data Privacy,32,Q1 Growth,Qualified
LEAD-0278,Direct Mail,Network Security,80,Q2 Transformation,New
LEAD-0279,Direct Mail,Payment Processing,27,Q1 Innovation,New
LEAD-0280,Webinar,IoT Platforms,38,Q1 Efficiency,Working
LEAD-0281,Referral,ERP Integration,97,FY Growth,New
LEAD-0282,Paid Social,Supply Chain Management,19,Q1 Growth,New
LEAD-0283,Organic Search,Supply Chain Management,92,Q3 Efficiency,Working
LEAD-0284,Whitepaper,Supply Chain Management,52,Q1 Innovation,New
LEAD-0285,Direct Mail,Cloud Migration,31,Q4 Innovation,Qualified
LEAD-0286,Referral,AI Automation,13,Q3 Transformation,Qualified
LEAD-0287,Trade Show,ERP Integration,37,Q2 Growth,Nurturing
LEAD-0288,Paid Social,AI Automation,29,Q1 Security,Working
LEAD-0289,Paid Social,AI Automation,62,Q4 Transformation,Qualified
LEAD-0290,Webinar,Payment Processing,45,Q3 Transformation,Working
LEAD-0291,Referral,Unified Communications,92,Q4 Security,Working
LEAD-0292,Webinar,CRM Software,55,Q4 Growth,Qualified
LEAD-0293,Email Campaign,Supply Chain Management,82,Q4 Security,Nurturing
LEAD-0294,Referral,Data Privacy,33,Q1 Growth,Nurturing
LEAD-0295,Organic Search,Cloud Migration,45,Q1 Security,Qualified
LEAD-0296,Email Campaign,Big Data Analytics,84,Q2 Transformation,Working
LEAD-0297,Whitepaper,Unified Communications,94,Q2 Transformation,Nurturing
LEAD-0298,Webinar,Big Data Analytics,38,Q4 Innovation,Qualified
LEAD-0299,Email Campaign,Supply Chain Management,32,Q2 Growth,Working
LEAD-0300,Email Campaign,Big Data Analytics,99,Q3 Security,New
LEAD-0301,Email Campaign,Fraud Prevention,82,Q1 Efficiency,Working
LEAD-0302,Direct Mail,Network Security,49,Q2 Growth,Qualified
LEAD-0303,Webinar,Payment Processing,17,Q2 Transformation,Working
LEAD-0304,Webinar,Network Security,71,Q1 Growth,Nurturing
LEAD-0305,Organic Search,Big Data Analytics,26,Q3 Growth,Working
LEAD-0306,Email Campaign,Cloud Migration,12,Q1 Efficiency,Working
LEAD-0307,Whitepaper,IoT Platforms,77,Q3 Security,New
LEAD-0308,Email Campaign,DevOps Tools,94,Q3 Transformation,New
LEAD-0309,Email Campaign,Data Privacy,51,Q1 Efficiency,Working
LEAD-0310,Referral,Big Data Analytics,91,Q4 Growth,Nurturing
LEAD-0311,Trade Show,DevOps Tools,81,FY Transformation,Nurturing
LEAD-0312,Organic Search,Customer Experience,85,Q2 Growth,Qualified
LEAD-0313,Paid Social,DevOps Tools,98,Q2 Efficiency,Working
LEAD-0314,Trade Show,DevOps Tools,10,FY Transformation,Qualified
LEAD-0315,Webinar,Cybersecurity,87,Q3 Growth,Working
LEAD-0316,Whitepaper,Supply Chain Management,73,Q1 Efficiency,Nurturing
LEAD-0317,Whitepaper,Unified Communications,54,Q3 Growth,Working
LEAD-0318,Whitepaper,IoT Platforms,100,FY Security,Nurturing
LEAD-0319,Direct Mail,Cloud Migration,43,Q2 Security,Working
LEAD-0320,Whitepaper,ERP Integration,42,Q1 Innovation,New
LEAD-0321,Webinar,CRM Software,66,FY Innovation,Qualified
LEAD-0322,Trade Show,Supply Chain Management,62,Q4 Growth,Qualified
LEAD-0323,Email Campaign,Network Security,58,Q1 Innovation,Qualified
LEAD-0324,Organic Search,Cybersecurity,67,Q1 Transformation,New
LEAD-0325,Paid Social,Cloud Migration,50,Q2 Innovation,New
LEAD-0326,Whitepaper,ERP Integration,31,Q3 Transformation,Working
LEAD-0327,Whitepaper,Network Security,21,Q3 Growth,Qualified
LEAD-0328,Webinar,CRM Software,93,Q2 Growth,Qualified
LEAD-0329,Trade Show,Cloud Migration,22,Q3 Growth,Working
LEAD-0330,Organic Search,CRM Software,99,Q4 Transformation,Nurturing
LEAD-0331,Paid Social,Data Privacy,40,Q1 Innovation,New
LEAD-0332,Referral,Fraud Prevention,80,Q4 Growth,Working
LEAD-0333,Webinar,ERP Integration,10,Q3 Innovation,New
LEAD-0334,Paid Social,IoT Platforms,94,FY Growth,Qualified
LEAD-0335,Organic Search,Payment Processing,13,Q2 Security,Working
LEAD-0336,Paid Social,Payment Processing,70,Q1 Innovation,Nurturing
LEAD-0337,Referral,AI Automation,72,FY Security,Nurturing
LEAD-0338,Whitepaper,Customer Experience,79,Q3 Transformation,Working
LEAD-0339,Email Campaign,Supply Chain Management,58,Q3 Security,Working
LEAD-0340,Direct Mail,Cloud Migration,43,Q3 Efficiency,Qualified
LEAD-0341,Paid Social,Unified Communications,44,Q4 Innovation,New
LEAD-0342,Trade Show,Big Data Analytics,99,FY Security,New
LEAD-0343,Whitepaper,Customer Experience,54,Q4 Transformation,Qualified
LEAD-0344,Organic Search,Network Security,17,Q3 Transformation,Qualified
LEAD-0345,Direct Mail,Fraud Prevention,40,Q4 Growth,Nurturing
LEAD-0346,Whitepaper,CRM Software,14,Q4 Security,Working
LEAD-0347,Whitepaper,Big Data Analytics,67,Q2 Growth,Working
LEAD-0348,Organic Search,Big Data Analytics,34,Q1 Efficiency,New
LEAD-0349,Referral,Payment Processing,97,Q3 Innovation,Working
LEAD-0350,Trade Show,IoT Platforms,86,Q2 Innovation,Nurturing
LEAD-0351,Whitepaper,Payment Processing,59,Q4 Transformation,Qualified
LEAD-0352,Email Campaign,IoT Platforms,45,Q4 Security,Qualified
LEAD-0353,Webinar,Big Data Analytics,99,Q4 Efficiency,Qualified
LEAD-0354,Whitepaper,CRM Software,29,Q1 Efficiency,New
LEAD-0355,Whitepaper,Fraud Prevention,22,Q2 Efficiency,Nurturing
LEAD-0356,Referral,Data Privacy,59,FY Growth,Qualified
LEAD-0357,Direct Mail,Cloud Migration,32,Q2 Innovation,Qualified
LEAD-0358,Trade Show,Fraud Prevention,87,FY Security,Qualified
LEAD-0359,Webinar,CRM Software,52,FY Transformation,Working
LEAD-0360,Webinar,DevOps Tools,70,Q2 Innovation,Nurturing
LEAD-0361,Webinar,ERP Integration,48,Q2 Efficiency,Nurturing
LEAD-0362,Direct Mail,IoT Platforms,99,FY Security,New
LEAD-0363,Organic Search,Cybersecurity,48,FY Innovation,Qualified
LEAD-0364,Email Campaign,Data Privacy,63,Q4 Efficiency,New
LEAD-0365,Organic Search,AI Automation,37,Q3 Innovation,Qualified
LEAD-0366,Email Campaign,IoT Platforms,17,Q4 Security,Working
LEAD-0367,Whitepaper,Data Privacy,100,Q4 Security,Qualified
LEAD-0368,Trade Show,Big Data Analytics,77,Q4 Innovation,New
LEAD-0369,Trade Show,Unified Communications,35,Q1 Security,Working
LEAD-0370,Webinar,AI Automation,16,Q3 Security,Working
LEAD-0371,Paid Social,ERP Integration,69,Q4 Security,Qualified
LEAD-0372,Whitepaper,Customer Experience,13,Q2 Transformation,Nurturing
LEAD-0373,Direct Mail,Fraud Prevention,67,Q2 Growth,Qualified
LEAD-0374,Email Campaign,ERP Integration,30,Q2 Innovation,New
LEAD-0375,Paid Social,Cloud Migration,59,Q1 Security,Working
LEAD-0376,Organic Search,IoT Platforms,38,FY Growth,Working
LEAD-0377,Organic Search,Data Privacy,93,Q3 Innovation,New
LEAD-0378,Webinar,AI Automation,26,FY Growth,Working
LEAD-0379,Webinar,Unified Communications,42,Q4 Efficiency,Nurturing
LEAD-0380,Paid Social,CRM Software,58,Q3 Security,Qualified
LEAD-0381,Paid Social,Unified Communications,69,Q2 Efficiency,Qualified
LEAD-0382,Whitepaper,Cloud Migration,75,FY Security,Nurturing
LEAD-0383,Paid Social,Data Privacy,97,Q1 Innovation,Qualified
LEAD-0384,Whitepaper,ERP Integration,45,FY Growth,Nurturing
LEAD-0385,Paid Social,Data Privacy,93,FY Transformation,Nurturing
LEAD-0386,Organic Search,Cybersecurity,76,FY Efficiency,Working
LEAD-0387,Webinar,Big Data Analytics,86,Q3 Transformation,Nurturing
LEAD-0388,Trade Show,DevOps Tools,13,FY Growth,Qualified
LEAD-0389,Paid Social,Data Privacy,63,Q3 Transformation,Qualified
LEAD-0390,Webinar,Fraud Prevention,100,Q4 Innovation,Working
LEAD-0391,Email Campaign,DevOps Tools,38,FY Security,Qualified
