account_id,account_name,parent_account,vertical,account_tier,churn_risk_status,contract_end_date,geography_id,csat_score,support_tickets_ytd
ACC-024,Nexus Networks,Hyper Conglomerate,Technology,Tier 2 - Enterprise,Medium,2026-06-10,GEO-020,97,12
ACC-025,Nexus Group,Giga Corporation,Healthcare,Tier 1 - Strategic,Medium,2025-06-06,GEO-041,57,7
ACC-026,Vanguard Technologies,Pro Partners,Finance,Tier 2 - Enterprise,Low,2026-01-14,GEO-042,59,6
ACC-027,Vanguard Solutions,Mega Partners,Finance,Tier 1 - Strategic,High,2024-06-26,GEO-039,59,23
ACC-028,Vanguard Systems,Ultra Corporation,Retail,Tier 2 - Enterprise,Low,2026-02-11,GEO-037,98,2
ACC-029,Vanguard Networks,Maxi Conglomerate,Manufacturing,Tier 3 - Commercial,Low,2025-10-12,GEO-040,70,14
ACC-030,Vanguard Group,Mega Partners,Retail,Tier 1 - Strategic,Low,2025-04-25,GEO-029,90,10
ACC-031,Pinnacle Technologies,Super Enterprises,Technology,Tier 2 - Enterprise,Medium,2025-06-03,GEO-005,69,8
ACC-032,Pinnacle Solutions,Omni Enterprises,Technology,Tier 2 - Enterprise,Medium,2026-05-01,GEO-019,54,14
ACC-033,Pinnacle Systems,Super Partners,Manufacturing,Tier 3 - Commercial,Low,2025-01-28,GEO-030,87,2
ACC-034,Pinnacle Networks,Macro Conglomerate,Manufacturing,Tier 3 - Commercial,Low,2024-07-11,GEO-021,88,1
ACC-035,Pinnacle Group,Omni Conglomerate,Retail,Tier 1 - Strategic,Medium,2026-04-10,GEO-022,95,4
ACC-036,Zenith Technologies,Maxi Corporation,Healthcare,Tier 1 - Strategic,High,2024-09-10,GEO-046,78,36
ACC-037,Zenith Solutions,Giga Conglomerate,Finance,Tier 2 - Enterprise,Medium,2025-01-31,GEO-027,99,5
ACC-038,Zenith Systems,Maxi Holdings,Finance,Tier 1 - Strategic,Medium,2024-12-03,GEO-007,85,1
ACC-039,Zenith Networks,Tera Conglomerate,Finance,Tier 3 - Commercial,Low,2026-05-22,GEO-043,88,12
ACC-040,Zenith Group,Mega Holdings,Manufacturing,Tier 3 - Commercial,High,2024-05-24,GEO-023,69,30
ACC-041,Quantum Technologies,Mega Conglomerate,Manufacturing,Tier 3 - Commercial,Low,2026-08-18,GEO-006,69,12
ACC-042,Quantum Solutions,Maxi Corporation,Finance,Tier 1 - Strategic,Low,2025-11-17,GEO-045,97,12
ACC-043,Quantum Systems,Maxi Corporation,Retail,Tier 3 - Commercial,Low,2025-01-05,GEO-002,73,2
ACC-044,Quantum Networks,Ultra Conglomerate,Finance,Tier 2 - Enterprise,Medium,2024-07-15,GEO-015,58,5
ACC-045,Quantum Group,Tera Conglomerate,Technology,Tier 3 - Commercial,High,2026-02-28,GEO-035,97,22
ACC-046,Stellar Technologies,Maxi Enterprises,Finance,Tier 3 - Commercial,Low,2024-05-14,GEO-039,74,1
ACC-047,Stellar Solutions,Ultra Corporation,Manufacturing,Tier 1 - Strategic,High,2026-01-08,GEO-029,52,25
ACC-048,Stellar Systems,Maxi Conglomerate,Healthcare,Tier 2 - Enterprise,Medium,2025-09-17,GEO-019,98,11
ACC-049,Stellar Networks,Ultra Partners,Manufacturing,Tier 1 - Strategic,Low,2024-11-12,GEO-031,62,14
ACC-050,Stellar Group,Macro Partners,Finance,Tier 2 - Enterprise,Medium,2025-05-29,GEO-034,76,14
ACC-051,Nova Technologies,Ultra Enterprises,Manufacturing,Tier 1 - Strategic,High,2026-06-12,GEO-017,53,46
ACC-052,Nova Solutions,Giga Conglomerate,Manufacturing,Tier 1 - Strategic,Low,2025-12-29,GEO-034,57,15
ACC-053,Nova Systems,Pro Conglomerate,Healthcare,Tier 2 - Enterprise,Medium,2025-04-05,GEO-033,59,2
ACC-054,Nova Networks,Ultra Partners,Retail,Tier 2 - Enterprise,Medium,2026-08-10,GEO-002,76,2
ACC-055,Nova Group,Hyper Enterprises,Finance,Tier 1 - Strategic,High,2025-01-30,GEO-006,73,32
ACC-056,Orion Technologies,Giga Holdings,Technology,Tier 3 - Commercial,High,2025-10-27,GEO-022,100,20
ACC-057,Orion Solutions,Omni Enterprises,Finance,Tier 2 - Enterprise,High,2025-12-13,GEO-009,98,24
ACC-058,Orion Systems,Macro Conglomerate,Manufacturing,Tier 1 - Strategic,Low,2026-07-16,GEO-006,51,15
ACC-059,Orion Networks,Mega Partners,Manufacturing,Tier 3 - Commercial,Medium,2025-09-15,GEO-034,77,6
ACC-060,Orion Group,Tera Conglomerate,Healthcare,Tier 2 - Enterprise,High,2024-05-04,GEO-004,65,44
ACC-061,Titan Technologies,Omni Partners,Technology,Tier 2 - Enterprise,Medium,2025-09-03,GEO-035,51,14
ACC-062,Titan Solutions,Pro Holdings,Healthcare,Tier 2 - Enterprise,Low,2025-03-15,GEO-001,89,7
ACC-063,Titan Systems,Super Corporation,Retail,Tier 1 - Strategic,Medium,2025-11-11,GEO-043,55,7
ACC-064,Titan Networks,Omni Partners,Manufacturing,Tier 3 - Commercial,Low,2025-06-03,GEO-033,85,11
ACC-065,Titan Group,Hyper Holdings,Technology,Tier 3 - Commercial,High,2025-01-31,GEO-024,66,32
ACC-066,Atlas Technologies,Giga Enterprises,Technology,Tier 2 - Enterprise,Low,2024-09-03,GEO-047,92,0
ACC-067,Atlas Solutions,Pro Partners,Manufacturing,Tier 3 - Commercial,Low,2026-02-13,GEO-022,58,3
ACC-068,Atlas Systems,Hyper Partners,Finance,Tier 3 - Commercial,High,2024-06-28,GEO-050,93,31
ACC-069,Atlas Networks,Maxi Holdings,Healthcare,Tier 1 - Strategic,Medium,2024-03-05,GEO-046,99,15
ACC-070,Atlas Group,Tera Conglomerate,Healthcare,Tier 1 - Strategic,Medium,2026-03-21,GEO-013,52,1
ACC-071,Helios Technologies,Hyper Enterprises,Retail,Tier 3 - Commercial,Medium,2025-04-29,GEO-017,52,9
ACC-072,Helios Solutions,Tera Conglomerate,Finance,Tier 1 - Strategic,Low,2026-06-05,GEO-042,71,6
ACC-073,Helios Systems,Giga Conglomerate,Retail,Tier 2 - Enterprise,Medium,2026-01-31,GEO-029,74,3
ACC-074,Helios Networks,Hyper Corporation,Retail,Tier 2 - Enterprise,Medium,2026-08-04,GEO-034,67,5
ACC-075,Helios Group,Macro Enterprises,Technology,Tier 2 - Enterprise,High,2025-09-08,GEO-012,84,43
ACC-076,Aegis Technologies,Mega Corporation,Technology,Tier 2 - Enterprise,Medium,2025-11-07,GEO-019,69,10
ACC-077,Aegis Solutions,Ultra Holdings,Retail,Tier 2 - Enterprise,Medium,2025-04-02,GEO-003,96,13
ACC-078,Aegis Systems,Tera Enterprises,Technology,Tier 1 - Strategic,Medium,2025-11-18,GEO-041,75,13
ACC-079,Aegis Networks,Omni Corporation,Healthcare,Tier 3 - Commercial,Medium,2025-11-25,GEO-029,52,5
ACC-080,Aegis Group,Tera Holdings,Finance,Tier 2 - Enterprise,High,2025-01-27,GEO-037,52,22
ACC-081,Meridian Technologies,Maxi Conglomerate,Retail,Tier 2 - Enterprise,Low,2025-01-15,GEO-029,98,4
ACC-082,Meridian Solutions,Mega Conglomerate,Manufacturing,Tier 2 - Enterprise,High,2025-02-11,GEO-021,91,38
ACC-083,Meridian Systems,Mega Enterprises,Technology,Tier 3 - Commercial,Medium,2024-07-09,GEO-032,83,7
ACC-084,Meridian Networks,Tera Corporation,Finance,Tier 3 - Commercial,Medium,2025-04-01,GEO-014,89,3
ACC-085,Meridian Group,Ultra Enterprises,Technology,Tier 1 - Strategic,Medium,2026-05-23,GEO-005,78,15
ACC-086,Horizon Technologies,Pro Holdings,Retail,Tier 1 - Strategic,High,2026-04-09,GEO-044,70,48
ACC-087,Horizon Solutions,Pro Holdings,Technology,Tier 3 - Commercial,Low,2025-07-09,GEO-019,69,11
ACC-088,Horizon Systems,Pro Holdings,Healthcare,Tier 2 - Enterprise,High,2025-06-04,GEO-015,57,42
ACC-089,Horizon Networks,Mega Conglomerate,Healthcare,Tier 2 - Enterprise,High,2024-01-27,GEO-024,85,45
ACC-090,Horizon Group,Macro Partners,Manufacturing,Tier 1 - Strategic,Low,2025-09-18,GEO-006,54,11
ACC-091,Crest Technologies,Pro Holdings,Retail,Tier 3 - Commercial,Medium,2025-02-24,GEO-050,76,12
ACC-092,Crest Solutions,Mega Conglomerate,Finance,Tier 3 - Commercial,Low,2024-03-16,GEO-029,79,2
ACC-093,Crest Systems,Mega Conglomerate,Manufacturing,Tier 3 - Commercial,Low,2025-08-24,GEO-012,99,11
ACC-094,Crest Networks,Hyper Enterprises,Technology,Tier 1 - Strategic,High,2025-06-14,GEO-010,69,33
ACC-095,Crest Group,Giga Holdings,Healthcare,Tier 2 - Enterprise,High,2026-08-28,GEO-034,68,25
ACC-096,Vertex Technologies,Ultra Enterprises,Manufacturing,Tier 2 - Enterprise,High,2024-05-08,GEO-041,69,28
ACC-097,Vertex Solutions,Hyper Enterprises,Healthcare,Tier 3 - Commercial,Low,2026-08-22,GEO-038,59,2
ACC-098,Vertex Systems,Super Partners,Manufacturing,Tier 2 - Enterprise,High,2026-05-12,GEO-037,52,41
ACC-099,Vertex Networks,Omni Enterprises,Manufacturing,Tier 2 - Enterprise,High,2025-10-28,GEO-014,99,22
ACC-100,Vertex Group,Super Partners,Technology,Tier 2 - Enterprise,Low,2026-06-29,GEO-041,84,13
ACC-101,Acme Technologies,Hyper Holdings,Healthcare,Tier 3 - Commercial,Medium,2025-02-19,GEO-020,79,9
ACC-102,Acme Solutions,Omni Conglomerate,Healthcare,Tier 2 - Enterprise,High,2025-03-01,GEO-031,79,42
ACC-103,Acme Systems,Super Conglomerate,Healthcare,Tier 2 - Enterprise,High,2026-06-01,GEO-046,70,30
ACC-104,Acme Networks,Macro Holdings,Healthcare,Tier 2 - Enterprise,Low,2025-06-11,GEO-036,56,11
ACC-105,Acme Group,Macro Partners,Technology,Tier 2 - Enterprise,Medium,2025-04-05,GEO-016,59,7
ACC-106,Omega Technologies,Tera Conglomerate,Retail,Tier 3 - Commercial,High,2025-03-04,GEO-016,60,21
ACC-107,Omega Solutions,Ultra Enterprises,Healthcare,Tier 2 - Enterprise,Medium,2025-06-11,GEO-030,81,10
ACC-108,Omega Systems,Omni Corporation,Technology,Tier 2 - Enterprise,Medium,2025-06-01,GEO-030,65,15
ACC-109,Omega Networks,Giga Enterprises,Technology,Tier 1 - Strategic,High,2024-10-15,GEO-032,88,38
ACC-110,Omega Group,Tera Conglomerate,Manufacturing,Tier 1 - Strategic,Low,2026-05-17,GEO-007,77,15
ACC-111,Alpha Technologies,Tera Corporation,Finance,Tier 2 - Enterprise,High,2025-01-09,GEO-003,75,48
ACC-112,Alpha Solutions,Super Holdings,Healthcare,Tier 2 - Enterprise,High,2025-07-20,GEO-019,54,38
ACC-113,Alpha Systems,Pro Conglomerate,Manufacturing,Tier 2 - Enterprise,Medium,2026-04-25,GEO-040,93,14
ACC-114,Alpha Networks,Mega Conglomerate,Technology,Tier 2 - Enterprise,Low,2025-01-17,GEO-022,85,3
ACC-115,Alpha Group,Ultra Enterprises,Manufacturing,Tier 3 - Commercial,Medium,2025-02-15,GEO-033,52,4
ACC-116,Sigma Technologies,Mega Conglomerate,Finance,Tier 2 - Enterprise,High,2025-06-15,GEO-030,59,21
ACC-117,Sigma Solutions,Giga Holdings,Manufacturing,Tier 2 - Enterprise,Low,2024-06-15,GEO-026,89,4
ACC-118,Sigma Systems,Super Enterprises,Finance,Tier 3 - Commercial,Low,2026-04-28,GEO-033,84,9
ACC-119,Sigma Networks,Hyper Holdings,Technology,Tier 2 - Enterprise,Medium,2024-12-05,GEO-044,57,9
ACC-120,Sigma Group,Pro Corporation,Technology,Tier 3 - Commercial,Medium,2025-04-30,GEO-017,91,9
ACC-121,Delta Technologies,Pro Corporation,Technology,Tier 3 - Commercial,Low,2025-05-06,GEO-011,83,7
ACC-122,Delta Solutions,Mega Partners,Healthcare,Tier 1 - Strategic,Low,2025-08-09,GEO-045,57,12
ACC-123,Delta Systems,Macro Conglomerate,Finance,Tier 2 - Enterprise,High,2024-06-04,GEO-027,94,20
ACC-124,Delta Networks,Hyper Enterprises,Manufacturing,Tier 2 - Enterprise,High,2026-06-12,GEO-048,96,33
ACC-125,Delta Group,Mega Conglomerate,Manufacturing,Tier 1 - Strategic,High,2025-07-28,GEO-021,92,42
