opportunity_id,account_id,rep_id,product_id,lead_id,create_date,close_date,activation_date,opp_stage,probability_percent,acv,nrr,tcv,won_lost_reason,discount_percent,margin_percent,contract_term_months,mrr,estimated_transaction_volume,implementation_cost,upsell_acv
OPP-00057,ACC-030,REP-119,PRD-005,LEAD-6233,2024-05-24,2024-09-15,,Negotiation,0.7,155000,39000,194000.0,,0.29,0.39,12,12916.67,70993,5446,3682
OPP-00058,ACC-021,REP-099,PRD-068,LEAD-7615,2026-01-11,2026-05-20,,Negotiation,0.7,13000,42000,55000.0,,0.39,0.28,12,1083.33,45973,31811,1908
OPP-00059,ACC-098,REP-076,PRD-012,,2023-10-17,2024-02-26,,Closed Lost,0.0,185000,43000,413000.0,Features,0.48,0.32,24,15416.67,82906,42885,165
OPP-00060,ACC-090,REP-117,PRD-012,LEAD-6569,2024-06-15,2024-07-23,2024-08-16,Closed Won,1.0,22000,43000,109000.0,Features,0.21,0.75,36,1833.33,78095,7610,4147
OPP-00061,ACC-009,REP-031,PRD-006,LEAD-4408,2024-10-06,2025-03-03,,Demo,0.3,224000,21000,469000.0,,0.5,0.74,24,18666.67,55995,30442,574
OPP-00062,ACC-059,REP-018,PRD-016,LEAD-1177,2023-04-09,2023-08-15,,Negotiation,0.7,220000,49000,709000.0,,0.42,0.22,36,18333.33,65296,37845,4499
OPP-00063,ACC-095,REP-150,PRD-038,LEAD-7203,2026-01-16,2026-07-01,,Closed Lost,0.0,108000,1000,325000.0,Executive Sponsor Left,0.26,0.17,36,9000.0,92185,23785,38921
OPP-00064,ACC-007,REP-072,PRD-016,LEAD-7367,2026-06-26,2026-10-19,,Negotiation,0.7,111000,13000,124000.0,,0.26,0.36,12,9250.0,53895,33376,505
OPP-00065,ACC-020,REP-070,PRD-063,LEAD-0019,2022-12-15,2023-02-14,2023-03-16,Closed Won,1.0,6000,3000,21000.0,Budget,0.37,0.13,36,500.0,59269,25221,782
OPP-00066,ACC-030,REP-114,PRD-007,LEAD-4975,2025-04-22,2025-06-22,,Qualify,0.1,129000,10000,397000.0,,0.21,0.62,36,10750.0,24129,49036,330
OPP-00067,ACC-053,REP-069,PRD-066,LEAD-4823,2025-11-02,2026-02-24,,On Hold,0.1,187000,31000,592000.0,,0.41,0.52,36,15583.33,50130,8530,26754
OPP-00068,ACC-007,REP-071,PRD-010,LEAD-7698,2026-03-08,2026-08-07,,On Hold,0.1,98000,32000,228000.0,,0.42,0.59,24,8166.67,88424,48647,2635
OPP-00069,ACC-094,REP-049,PRD-045,,2023-12-12,2024-05-13,,Qualify,0.1,195000,44000,239000.0,,0.18,0.6,12,16250.0,8227,29191,2642
OPP-00070,ACC-020,REP-001,PRD-005,LEAD-0876,2026-06-26,2026-11-20,,Qualify,0.1,248000,14000,758000.0,,0.01,0.14,36,20666.67,21683,23950,3287
OPP-00071,ACC-011,REP-105,PRD-005,LEAD-6937,2024-12-28,2025-02-11,,Qualify,0.1,131000,29000,291000.0,,0.07,0.64,24,10916.67,1078,29692,815
OPP-00072,ACC-004,REP-003,PRD-010,LEAD-6528,2023-03-24,2023-08-15,,Closed Lost,0.0,199000,18000,217000.0,Superior ROI,0.5,0.42,12,16583.33,75641,48231,2668
OPP-00073,ACC-018,REP-105,PRD-015,LEAD-1110,2026-02-13,2026-05-29,,Demo,0.3,243000,10000,496000.0,,0.02,0.62,24,20250.0,41895,17159,3990
OPP-00074,ACC-012,REP-070,PRD-007,,2023-02-28,2023-05-28,,Closed Lost,0.0,37000,21000,95000.0,Features,0.03,0.3,24,3083.33,62262,34578,3448
OPP-00075,ACC-008,REP-028,PRD-014,LEAD-6518,2023-10-09,2023-11-19,,On Hold,0.1,184000,22000,206000.0,,0.33,0.23,12,15333.33,9476,16568,3201
OPP-00076,ACC-078,REP-111,PRD-004,LEAD-3568,2024-04-04,2024-06-30,,Qualify,0.1,108000,20000,236000.0,,0.33,0.33,24,9000.0,97453,42610,454
OPP-00077,ACC-008,REP-129,PRD-006,LEAD-7484,2023-11-04,2024-03-18,,Closed Lost,0.0,23000,29000,98000.0,Budget,0.33,0.36,36,1916.67,9884,16712,1365
OPP-00078,ACC-007,REP-143,PRD-006,LEAD-7477,2025-08-02,2025-12-25,,Demo,0.3,172000,35000,379000.0,,0.15,0.33,24,14333.33,49796,9741,3633
OPP-00079,ACC-024,REP-094,PRD-076,,2025-05-12,2025-06-18,2025-07-02,Closed Won,1.0,45000,39000,129000.0,Executive Sponsor Left,0.02,0.38,24,3750.0,65580,18493,68
OPP-00080,ACC-021,REP-112,PRD-044,LEAD-7642,2024-05-27,2024-09-21,,On Hold,0.1,244000,20000,752000.0,,0.2,0.21,36,20333.33,53319,17155,4474
OPP-00081,ACC-024,REP-124,PRD-002,,2024-08-27,2024-10-04,2024-10-29,Closed Won,1.0,248000,37000,533000.0,Executive Sponsor Left,0.35,0.35,24,20666.67,77681,14156,715
OPP-00082,ACC-008,REP-117,PRD-044,,2025-05-28,2025-08-30,,Closed Lost,0.0,73000,48000,194000.0,Executive Sponsor Left,0.4,0.33,24,6083.33,85720,2303,1414
OPP-00083,ACC-006,REP-107,PRD-005,LEAD-3250,2026-08-14,2026-12-30,,On Hold,0.1,75000,43000,193000.0,,0.04,0.2,24,6250.0,92738,29280,2202
OPP-00084,ACC-052,REP-011,PRD-059,LEAD-4179,2024-10-18,2024-12-19,,On Hold,0.1,29000,0,29000.0,,0.13,0.58,12,2416.67,22996,39198,3683
OPP-00085,ACC-009,REP-142,PRD-029,LEAD-7515,2025-05-13,2025-06-23,,Closed Lost,0.0,226000,41000,719000.0,Budget,0.41,0.72,36,18833.33,18794,27335,2474
OPP-00086,ACC-001,REP-132,PRD-047,LEAD-4856,2025-11-20,2025-12-22,,On Hold,0.1,160000,0,320000.0,,0.43,0.74,24,13333.33,67567,3739,2651
OPP-00087,ACC-010,REP-142,PRD-047,,2025-12-26,2026-03-15,,Demo,0.3,33000,44000,143000.0,,0.45,0.34,36,2750.0,94087,15506,21092
OPP-00088,ACC-064,REP-010,PRD-010,LEAD-7877,2024-06-20,2024-11-29,,On Hold,0.1,32000,49000,81000.0,,0.5,0.17,12,2666.67,92967,28187,4844
OPP-00089,ACC-112,REP-111,PRD-002,,2026-02-03,2026-03-10,,Demo,0.3,217000,27000,461000.0,,0.07,0.18,24,18083.33,93491,45919,2380
OPP-00090,ACC-016,REP-144,PRD-038,LEAD-2159,2024-09-24,2024-12-11,2025-01-04,Closed Won,1.0,154000,44000,506000.0,Price,0.16,0.15,36,12833.33,23565,26479,4171
OPP-00091,ACC-009,REP-111,PRD-002,LEAD-7935,2022-11-03,2023-01-10,,Qualify,0.1,180000,22000,382000.0,,0.36,0.71,24,15000.0,55993,26607,2127
OPP-00092,ACC-004,REP-089,PRD-001,,2024-07-18,2024-12-26,,On Hold,0.1,82000,15000,261000.0,,0.28,0.63,36,6833.33,39102,43548,4707
OPP-00093,ACC-019,REP-083,PRD-004,LEAD-7272,2023-03-27,2023-07-25,,Qualify,0.1,38000,49000,87000.0,,0.42,0.12,12,3166.67,20365,18774,4616
OPP-00094,ACC-004,REP-056,PRD-005,LEAD-4658,2025-09-30,2026-02-05,,Negotiation,0.7,98000,49000,245000.0,,0.25,0.32,24,8166.67,53017,8770,808
OPP-00095,ACC-021,REP-133,PRD-007,LEAD-2223,2025-07-09,2025-10-29,,Closed Lost,0.0,167000,17000,184000.0,Timing,0.34,0.43,12,13916.67,70520,24125,296
OPP-00096,ACC-021,REP-096,PRD-001,LEAD-1607,2025-09-23,2026-03-02,,Qualify,0.1,50000,23000,173000.0,,0.46,0.39,36,4166.67,19621,31047,3138
OPP-00097,ACC-015,REP-121,PRD-006,LEAD-7421,2025-04-07,2025-06-11,,Demo,0.3,70000,7000,217000.0,,0.1,0.62,36,5833.33,93237,23569,1425
OPP-00098,ACC-006,REP-132,PRD-072,LEAD-7053,2024-06-28,2024-11-25,,Closed Lost,0.0,121000,31000,152000.0,Price,0.34,0.12,12,10083.33,18032,37964,1099
OPP-00099,ACC-038,REP-074,PRD-015,LEAD-1829,2024-07-26,2024-08-29,,Demo,0.3,203000,23000,632000.0,,0.11,0.17,36,16916.67,85218,19472,4680
OPP-00100,ACC-008,REP-136,PRD-069,LEAD-5432,2026-11-10,2026-12-17,,On Hold,0.1,196000,27000,419000.0,,0.43,0.55,24,16333.33,56646,28658,1013
OPP-00101,ACC-038,REP-021,PRD-016,LEAD-0504,2026-04-30,2026-08-03,2026-09-16,Closed Won,1.0,80000,0,240000.0,Competitor,0.12,0.28,36,6666.67,98213,31688,799
OPP-00102,ACC-020,REP-089,PRD-011,LEAD-1544,2026-01-23,2026-03-15,,On Hold,0.1,226000,47000,499000.0,,0.07,0.33,24,18833.33,78525,15809,3896
OPP-00103,ACC-085,REP-047,PRD-012,LEAD-2067,2026-04-22,2026-06-23,,Negotiation,0.7,97000,28000,319000.0,,0.17,0.22,36,8083.33,14978,44146,3694
OPP-00104,ACC-004,REP-135,PRD-066,LEAD-0286,2025-08-07,2025-12-03,,Demo,0.3,63000,45000,171000.0,,0.09,0.26,24,5250.0,52935,47629,2309
OPP-00105,ACC-007,REP-119,PRD-032,LEAD-5637,2025-07-24,2025-12-30,,Negotiation,0.7,165000,44000,539000.0,,0.39,0.27,36,13750.0,87951,33962,2337
OPP-00106,ACC-084,REP-046,PRD-013,LEAD-1978,2025-12-01,2026-05-01,,Qualify,0.1,38000,41000,155000.0,,0.03,0.79,36,3166.67,42580,21348,2002
OPP-00107,ACC-015,REP-135,PRD-078,LEAD-0560,2025-01-28,2025-06-28,,Closed Lost,0.0,138000,48000,462000.0,Budget,0.26,0.4,36,11500.0,95054,28149,3704
OPP-00108,ACC-022,REP-150,PRD-007,LEAD-7966,2022-12-16,2023-06-10,,Negotiation,0.7,21000,7000,70000.0,,0.28,0.62,36,1750.0,23664,16050,2687
OPP-00109,ACC-022,REP-125,PRD-011,LEAD-1128,2026-06-06,2026-07-19,,Qualify,0.1,107000,43000,150000.0,,0.25,0.65,12,8916.67,50685,24139,4049
OPP-00110,ACC-024,REP-142,PRD-013,LEAD-1260,2024-02-29,2024-08-21,,Closed Lost,0.0,212000,50000,262000.0,Superior ROI,0.01,0.49,12,17666.67,85515,9082,3921
OPP-00111,ACC-009,REP-107,PRD-012,LEAD-3237,2022-12-25,2023-02-17,,On Hold,0.1,51000,20000,71000.0,,0.16,0.33,12,4250.0,45590,8056,3340
OPP-00112,ACC-016,REP-131,PRD-015,LEAD-5843,2024-04-23,2024-06-02,,Closed Lost,0.0,72000,40000,184000.0,No Decision,0.26,0.44,24,6000.0,25037,18884,114
OPP-00113,ACC-090,REP-101,PRD-007,LEAD-5766,2023-06-17,2023-11-17,,On Hold,0.1,173000,8000,527000.0,,0.15,0.46,36,14416.67,6881,23631,4826
OPP-00114,ACC-003,REP-061,PRD-038,LEAD-7738,2023-02-25,2023-08-24,2023-09-16,Closed Won,1.0,115000,29000,259000.0,Executive Sponsor Left,0.34,0.58,24,9583.33,66235,30116,26739
OPP-00115,ACC-019,REP-053,PRD-011,LEAD-0075,2023-11-11,2024-03-19,,Negotiation,0.7,81000,45000,288000.0,,0.3,0.52,36,6750.0,34654,1066,393
OPP-00116,ACC-089,REP-008,PRD-015,,2025-07-03,2025-08-21,,On Hold,0.1,110000,5000,335000.0,,0.5,0.52,36,9166.67,64094,18314,4177
OPP-00117,ACC-067,REP-024,PRD-007,LEAD-6150,2024-11-03,2025-03-18,,Closed Lost,0.0,244000,10000,498000.0,Superior ROI,0.38,0.36,24,20333.33,56469,33797,1241
OPP-00118,ACC-006,REP-147,PRD-026,LEAD-1183,2026-07-26,2026-09-06,,Demo,0.3,231000,23000,485000.0,,0.27,0.61,24,19250.0,50775,33087,3169
OPP-00119,ACC-024,REP-077,PRD-004,,2024-01-27,2024-02-28,2024-03-18,Closed Won,1.0,220000,24000,464000.0,Price,0.47,0.39,24,18333.33,89923,5717,1834
OPP-00120,ACC-022,REP-053,PRD-015,LEAD-5491,2023-11-20,2024-01-11,,Negotiation,0.7,243000,15000,258000.0,,0.39,0.38,12,20250.0,58854,22872,4976
OPP-00121,ACC-021,REP-082,PRD-027,LEAD-4958,2024-12-13,2025-03-18,,Demo,0.3,219000,21000,459000.0,,0.44,0.38,24,18250.0,3163,5041,4776
OPP-00122,ACC-025,REP-092,PRD-003,LEAD-3186,2026-04-21,2026-08-28,,Demo,0.3,71000,3000,145000.0,,0.26,0.71,24,5916.67,94363,43465,440
OPP-00123,ACC-004,REP-051,PRD-022,,2022-11-17,2023-04-24,,Qualify,0.1,181000,46000,408000.0,,0.37,0.8,24,15083.33,83706,17144,2981
OPP-00124,ACC-021,REP-118,PRD-013,LEAD-0502,2026-03-13,2026-05-22,2026-06-15,Closed Won,1.0,90000,23000,203000.0,Executive Sponsor Left,0.26,0.51,24,7500.0,5840,32077,3609
OPP-00125,ACC-022,REP-084,PRD-014,LEAD-4499,2023-01-03,2023-07-02,,Closed Lost,0.0,51000,30000,81000.0,No Decision,0.02,0.19,12,4250.0,33412,15214,787
OPP-00126,ACC-014,REP-068,PRD-013,LEAD-1283,2026-09-02,2026-11-25,,Demo,0.3,21000,15000,57000.0,,0.38,0.69,24,1750.0,38634,5963,3858
OPP-00127,ACC-005,REP-135,PRD-014,LEAD-5738,2024-11-16,2025-01-06,,On Hold,0.1,165000,41000,371000.0,,0.03,0.51,24,13750.0,55221,6568,552
OPP-00128,ACC-020,REP-095,PRD-004,LEAD-1063,2025-04-25,2025-08-26,,Negotiation,0.7,181000,34000,396000.0,,0.28,0.57,24,15083.33,58301,13776,1803
OPP-00129,ACC-020,REP-058,PRD-051,LEAD-2924,2022-11-05,2023-01-12,,Demo,0.3,248000,9000,753000.0,,0.43,0.47,36,20666.67,66254,7807,1452
OPP-00130,ACC-056,REP-041,PRD-032,LEAD-5442,2024-11-19,2025-02-06,,Negotiation,0.7,84000,47000,215000.0,,0.13,0.29,24,7000.0,48177,22034,35873
OPP-00131,ACC-004,REP-141,PRD-001,,2023-01-02,2023-03-11,,Closed Lost,0.0,190000,43000,233000.0,Timing,0.26,0.13,12,15833.33,71758,32469,1006
OPP-00132,ACC-038,REP-139,PRD-024,LEAD-0099,2024-06-22,2024-10-09,,Negotiation,0.7,86000,33000,119000.0,,0.05,0.49,12,7166.67,85115,37441,2772
OPP-00133,ACC-057,REP-112,PRD-006,LEAD-1738,2026-05-24,2026-10-25,,Closed Lost,0.0,119000,34000,391000.0,Superior ROI,0.27,0.4,36,9916.67,26409,26172,4092
OPP-00134,ACC-009,REP-071,PRD-040,LEAD-3346,2026-06-25,2026-09-25,,Demo,0.3,63000,12000,138000.0,,0.29,0.7,24,5250.0,21475,46376,3626
OPP-00135,ACC-022,REP-047,PRD-002,LEAD-2378,2025-03-19,2025-05-31,,Closed Lost,0.0,57000,35000,206000.0,Features,0.25,0.3,36,4750.0,42054,4295,4
OPP-00136,ACC-001,REP-065,PRD-060,LEAD-6157,2024-08-25,2024-10-23,,Closed Lost,0.0,111000,1000,334000.0,Budget,0.24,0.74,36,9250.0,74881,28988,31
OPP-00137,ACC-108,REP-105,PRD-011,LEAD-4687,2023-08-25,2023-12-02,,Negotiation,0.7,141000,48000,471000.0,,0.47,0.51,36,11750.0,80494,37480,1935
OPP-00138,ACC-016,REP-136,PRD-005,LEAD-4293,2023-03-26,2023-07-10,2023-08-07,Closed Won,1.0,120000,19000,379000.0,No Decision,0.37,0.58,36,10000.0,46397,43898,3614
OPP-00139,ACC-055,REP-068,PRD-014,LEAD-6494,2024-10-11,2025-01-11,,Qualify,0.1,190000,38000,418000.0,,0.03,0.4,24,15833.33,74988,21980,2073
OPP-00140,ACC-010,REP-021,PRD-079,LEAD-4159,2023-10-04,2024-01-06,2024-02-19,Closed Won,1.0,75000,32000,182000.0,Superior ROI,0.22,0.37,24,6250.0,10529,41687,25171
OPP-00141,ACC-012,REP-057,PRD-012,LEAD-1536,2022-12-24,2023-06-16,,Closed Lost,0.0,213000,38000,251000.0,Superior ROI,0.32,0.12,12,17750.0,8829,22213,4406
OPP-00142,ACC-004,REP-141,PRD-006,LEAD-0266,2026-02-25,2026-06-24,,On Hold,0.1,87000,46000,307000.0,,0.03,0.26,36,7250.0,40703,13117,2638
OPP-00143,ACC-119,REP-064,PRD-005,,2024-03-20,2024-08-17,,Qualify,0.1,238000,3000,479000.0,,0.17,0.24,24,19833.33,26526,47771,1919
OPP-00144,ACC-102,REP-006,PRD-040,LEAD-6641,2024-08-27,2025-01-24,,Negotiation,0.7,45000,32000,77000.0,,0.37,0.18,12,3750.0,53866,1006,4437
OPP-00145,ACC-012,REP-038,PRD-011,LEAD-6446,2025-07-09,2025-12-11,,On Hold,0.1,126000,12000,264000.0,,0.43,0.4,24,10500.0,7213,39534,4522
OPP-00146,ACC-060,REP-099,PRD-019,LEAD-4664,2025-02-21,2025-08-18,,On Hold,0.1,132000,42000,438000.0,,0.5,0.45,36,11000.0,43716,22953,3582
OPP-00147,ACC-023,REP-012,PRD-007,LEAD-1151,2022-12-10,2023-01-23,,On Hold,0.1,158000,25000,183000.0,,0.47,0.73,12,13166.67,96595,49523,2980
